09:32:55:884926, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:55:894396, onepos_HLK_2, 40:d6:3c:00:04:e1, -72
09:32:56:240197, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:32:56:354514, onepos_HLK_7, 40:d6:3c:00:06:1e, -81
09:32:56:418865, onepos_HLK_1, 40:d6:3c:00:04:a0, -73
09:32:56:504391, onepos_HLK_1, 40:d6:3c:00:04:a0, -74
09:32:56:847994, onepos_HLK_2, 40:d6:3c:00:04:e1, -72
09:32:57:117851, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:57:157851, onepos_HLK_8, 40:d6:3c:00:05:49, -77
09:32:57:171103, onepos_HLK_3, 40:d6:3c:00:06:1d, -75
09:32:57:177483, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:57:225124, onepos_HLK_1, 40:d6:3c:00:04:a0, -74
09:32:57:325199, onepos_HLK_2, 40:d6:3c:00:04:e1, -71
09:32:57:332049, onepos_HLK_3, 40:d6:3c:00:06:1d, -73
09:32:57:508369, onepos_HLK_7, 40:d6:3c:00:06:1e, -86
09:32:57:559482, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:57:560151, onepos_HLK_7, 40:d6:3c:00:06:1e, -75
09:32:57:603281, onepos_HLK_8, 40:d6:3c:00:05:49, -78
09:32:57:783443, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:57:936600, onepos_HLK_2, 40:d6:3c:00:04:e1, -73
09:32:58:005122, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:58:157196, onepos_HLK_1, 40:d6:3c:00:04:a0, -73
09:32:58:188656, onepos_HLK_2, 40:d6:3c:00:04:e1, -69
09:32:58:394774, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:58:415227, onepos_HLK_2, 40:d6:3c:00:04:e1, -82
09:32:58:506018, onepos_HLK_3, 40:d6:3c:00:06:1d, -61
09:32:58:538181, onepos_HLK_2, 40:d6:3c:00:04:e1, -82
09:32:58:552888, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:32:58:630968, onepos_HLK_2, 40:d6:3c:00:04:e1, -81
09:32:58:654206, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:58:846520, onepos_HLK_3, 40:d6:3c:00:06:1d, -76
09:32:58:872112, onepos_HLK_1, 40:d6:3c:00:04:a0, -72
09:32:58:925563, onepos_HLK_7, 40:d6:3c:00:06:1e, -75
09:32:58:931933, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:58:947733, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:59:120315, onepos_HLK_2, 40:d6:3c:00:04:e1, -76
09:32:59:233816, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:32:59:385613, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:32:59:533468, onepos_HLK_1, 40:d6:3c:00:04:a0, -75
09:32:59:582411, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:32:59:726225, onepos_HLK_7, 40:d6:3c:00:06:1e, -76
09:32:59:925792, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:32:59:967753, onepos_HLK_2, 40:d6:3c:00:04:e1, -76
09:33:00:070526, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:33:00:273756, onepos_HLK_7, 40:d6:3c:00:06:1e, -76
09:33:00:463611, onepos_HLK_8, 40:d6:3c:00:05:49, -79
09:33:00:569676, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:33:00:726953, onepos_HLK_1, 40:d6:3c:00:04:a0, -67
09:33:00:834735, onepos_HLK_2, 40:d6:3c:00:04:e1, -70
09:33:01:050205, onepos_HLK_7, 40:d6:3c:00:06:1e, -77
09:33:01:110979, onepos_HLK_3, 40:d6:3c:00:06:1d, -66
09:33:01:232847, onepos_HLK_1, 40:d6:3c:00:04:a0, -61
09:33:01:448947, onepos_HLK_2, 40:d6:3c:00:04:e1, -77
09:33:01:497034, onepos_HLK_8, 40:d6:3c:00:05:49, -83
09:33:01:559251, onepos_HLK_3, 40:d6:3c:00:06:1d, -64
09:33:01:606730, onepos_HLK_3, 40:d6:3c:00:06:1d, -63
09:33:01:889885, onepos_HLK_1, 40:d6:3c:00:04:a0, -62
09:33:01:980680, onepos_HLK_7, 40:d6:3c:00:06:1e, -65
09:33:02:207756, onepos_HLK_3, 40:d6:3c:00:06:1d, -75
09:33:02:215664, onepos_HLK_2, 40:d6:3c:00:04:e1, -68
09:33:02:486146, onepos_HLK_1, 40:d6:3c:00:04:a0, -62
09:33:02:573600, onepos_HLK_7, 40:d6:3c:00:06:1e, -79
09:33:02:693559, onepos_HLK_3, 40:d6:3c:00:06:1d, -62
09:33:02:769247, onepos_HLK_2, 40:d6:3c:00:04:e1, -75
09:33:02:876533, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:33:03:087745, onepos_HLK_3, 40:d6:3c:00:06:1d, -73
09:33:03:228777, onepos_HLK_8, 40:d6:3c:00:05:49, -78
09:33:03:230071, onepos_HLK_2, 40:d6:3c:00:04:e1, -71
09:33:03:357490, onepos_HLK_7, 40:d6:3c:00:06:1e, -77
09:33:03:420002, onepos_HLK_1, 40:d6:3c:00:04:a0, -71
09:33:03:725444, onepos_HLK_3, 40:d6:3c:00:06:1d, -74
